,title,upload_date,view_count,y,p
45,Deep Learning at Scale with Horovod feat. Travis Addair | Stanford MLSys Seminar Episode 10,2021-01-28,149,0,0.404861489884911
49,"Sustainability, Machine Learning, AR/VR and 5G: AI for Good - Paul Mclachlan (Ericsson Research)",2021-01-28,7,0,0.481622222222222
53,How to Deploy Machine Learning Models using Power BI,2021-01-28,339,1,0.404
59,Flutter iOS & Android Object Detection with TensorFlow Lite Deep Learning & Machine Learning Course,2021-01-28,1643,1,0.409451612903226
66,Machine Learning for the Environment - Mining in Senegal,2021-01-27,53,0,0.582912709995875
76,Machine Learning at the Edge in 2021,2021-01-27,2,1,0.568244444444445
77,"The Future of SaaS Investing, Machine Learning, & Data Privacy (w/ Raoul Pal & Gordon Ritter)",2021-01-26,10872,0,0.498914793538567
90,A Skyrim Trailer With Machine Learning A.I  Instead of Voice Actors,2021-01-18,54939,1,0.559073835125448
129,Sabudh Data Science Pro 2021 Webinar with Prof. Peter Brusilovsky,2021-01-29,25,0,0.437925456621004
131,Success story of fresher who landed job before Graduation. | Rushikesh,2021-01-29,1420,0,0.50879376729731
132,Data Science Full Course For Beginners | Data Analysis | Machine Learning | 2021 - Innovertz,2021-01-29,103,1,0.45111866405259
134,How to Become a Data Scientist in the UK (in 2021),2021-01-29,779,1,0.407806043282973
138,5  Things I Wish I knew Before Starting Data Science,2021-01-29,48,1,0.589695349094123
143,Full stack development free Courses || Data science Free Courses,2021-01-29,38,1,0.528695349094123
147,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,1181,0,0.553607095271306
148,Data Science в РЭУ,2021-01-29,39,0,0.531695349094123
150,Get 5 LPA+ JOB With Free FSD and Data Science Bootcamps || FREE PROJECTS + CERTIFICATES,2021-01-29,415,0,0.426223699340182
152,Here's Where Women Data Scientists Can Lead The Way | Work as One | Cognizant,2021-01-29,100,0,0.403926705219645
153,Data Science Pathways | Online Open Day,2021-01-29,3,0,0.539430467013512
156,Successful career transition into data science | Naganandni,2021-01-28,4127,1,0.433404444315455
157,"Data Science for Mobility, Delivery, and Beyond",2021-01-28,150,1,0.575955074252325
159,Essentials of Data Science With R Software-1:Probability&Statistical Inference |NPTEL |Week2Solution,2021-01-28,10,0,0.448045335075661
165,OpenDataHub: The Open Source Toolbox for Data Scientists - Audrey Reznik (Red Hat),2021-01-28,17,0,0.424364322899101
167,OpenShift Commons Gathering on Data Science,2021-01-28,115,0,0.480271505806068
172,Анализ данных в Data Science: знакомимся с Python,2021-01-28,1265,0,0.517765428604639
173,Data Science is Changing How We Innovate in Both Practice and the Workplace,2021-01-28,3,0,0.419095388154217
176,9 Must know Statistical Concepts For Data Scientists,2021-01-28,308,1,0.443502100630643
177,Edwisor | Mentor Speaks | Data Science,2021-01-28,14,0,0.511695349094123
180,How To Pick Your Next Data Science Project! (Using Kaggle),2021-01-28,56,1,0.461758044439
181,Udemy Free Courses With Free Certificate | Data Science | Python | Learn New Skills | Tricky Man,2021-01-28,15614,0,0.582346590117208
182,What is Marketing Analytics? | Industry Applications | Data Science Career | Ivy Pro School,2021-01-28,90,1,0.464862517946805
183,Data Driven Chat: Corpus Linguistics & Data Science || Michaela Mahlberg,2021-01-28,3791,1,0.441077154265095
186,Data Science in less than 1 minute | Seedhi Baat,2021-01-28,34,0,0.587135738812019
187,Text Generation Tutorial || Natural Language Generation (NLG) || Data Science Course || Learnbay.co,2021-01-28,17,1,0.552793592913555
188,Career Path for Data Scientist in 2021 | Data Science for Beginners | Analytics | Great Learning,2021-01-27,1928,0,0.562773919866312
189,3 Reasons why you are not getting Data Science Interview calls?,2021-01-27,38,0,0.426406313281754
190,Real-Time Data Science/AI Client Calls,2021-01-27,46,1,0.494785336926313
192,NetApp Data Science Toolkit,2021-01-27,49,0,0.562695349094123
196,LGPD & Data Science | Nubank ML Meetup,2021-01-27,109,1,0.460336065686714
197,How Data Science is Impacting Autopilot Industry | Data Science Daily | Episode 13,2021-01-27,37,1,0.527754047963004
232,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,13565,0,0.403404444315455
235,Mobile Price Prediction Kaggle Dataset Analysis | Data Science | ML | Kaggle,2020-12-26,13,0,0.589073126871901
236,Video 3 - Dealing with Missing Values in SAS (using Kaggle's Titanic data),2020-12-24,6,0,0.462290487773653
241,TWIML Kaggle NLP Meetup - 12/14/2020,2020-12-22,3,0,0.444888866278096
243,Digits Recognition using KNN | Kaggle Competition | Data Science,2020-12-20,7,1,0.588073126871901
245,Best computer vision competitions on Kaggle (for beginners),2020-12-17,5536,1,0.544
246,"¡Entrevista a ANDRES TORRUBIA! - Kaggle Master, Educación y el Futuro de la IA 🔥",2020-12-17,26069,0,0.511245380200535
