title,upload_date,view_count,y
 Jumpstart your Data Strategy,2021-01-29,5,0
"¡Entrevista a ANDRES TORRUBIA! - Kaggle Master, Educación y el Futuro de la IA 🔥",2020-12-17,26069,0
"""Kaggle: command not found fix"" for Mac Users",2020-11-30,17,0
[Materials Square] How to Use CGCNN Module | Machine Learning,2021-01-28,17,0
【9分で分かる書評】Kaggleで勝つデータ分析の技術！,2021-01-23,795,0
"#36: ""From Ballet to Data Science"" with Catherine Rekhert of DataBoom | Educative Sessions",2021-01-29,3,0
#Introduction to Meta Data | #Meta Data | #Big Data | #Data Mining |#Data Science:-,2021-01-29,13,1
#ONPASSIVE​ BLOG VIDEO : How can you Utilize Machine Learning in Business,2021-01-30,648,0
"#PrograMariaEncontros powered by Avanade | Machine Learning: Cases, práticas e tendências",2021-01-26,1419,0
| APSSDC |Online Exam on Data Science and AI using Python in Collaboration With Naresh Technologies|,2021-01-28,751,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,1181,0
1.6 How to Improve your Kaggle Rankings?,2020-11-30,3,0
1.7 Understanding the Tier Systems in Kaggle,2020-11-30,3,0
1.9 Adding Bio in Kaggle Profile,2020-11-30,18,0
"10 coding project ideas! (including data science, data engineering, ML and software engineering)",2021-01-28,646,1
10 Data Science Real Time Applications Iless than 1 minute |Nikhil Analytics,2021-01-30,2,1
14. Tableau Geographic Maps - Learn Tableau (Data Science) for FREE - techtablet,2021-01-29,2,1
18th workshop| Supervised Learning |30 days of Free Certified Applied Data Science Workshop.,2021-01-28,283,0
2 - Introduction to machine learning and artificial neural networks,2021-01-28,7,0
2 Housing Price Kaggle,2020-12-02,5,0
2021-01-30 - #ONPASSIVE​ BLOG VIDEO - How Can You Utilize Machine Learning in Business,2021-01-30,1,1
3 Reasons why you are not getting Data Science Interview calls?,2021-01-27,38,1
5  Things I Wish I knew Before Starting Data Science,2021-01-29,48,1
9 Most Recommended Skills to Become a Data Scientist in 2021 | Data Science Career,2021-01-29,176,1
9 Must know Statistical Concepts For Data Scientists,2021-01-28,308,1
A Skyrim Trailer With Machine Learning A.I  Instead of Voice Actors,2021-01-18,54939,0
A 咖共學計畫 - Kaggle 競賽案例「發掘資料集特徵」,2021-01-26,132,0
A.I. Learns to Play Space Invaders | Reinforcement Learning,2021-01-28,143,1
Accelerated Data Science & Engineering | Introduction to RAPIDS.AI,2021-01-29,49,0
Accelerating Machine Learning with a Feature Store,2021-01-28,899,1
AI & MACHINE LEARNING,2021-01-29,639,0
All you need to know about Kaggle | What is Kaggle | Kaggle Competitions | Great Learning,2020-11-30,4333,0
Amazon Free Training With Certificate | Artificial Intelligence | Machine Learning | Cloud | AWS,2021-01-16,30229,0
Apply Data Science jobs from Kaggle | Find Data Science Jobs | Machine Learning | Data Magic,2021-01-24,99,1
April 2020 - Advanced Machine Learning - Lecture 1 - Dr. S.M. Lutful Kabir Sir - BUET IICT,2021-01-30,3,0
Artificial Intelligence (AI) | Big Data | Robots | Robotics | Machine Learning | DOCUMENTARY,2021-01-25,7041,0
Artificial Intelligence and Machine Learning Models for Trash Breakout,2021-01-29,2,1
AWS RE:CAP Israel - Machine learning re:invent release guide,2021-01-28,91,0
Best computer vision competitions on Kaggle (for beginners),2020-12-17,5536,1
Best NLP competitions on Kaggle (to learn from),2020-12-13,9172,1
Best Way To Learn Data Science For Free From Kaggle.com,2020-10-25,118,0
Beyond Bots: Making Machine Learning Accessible and Useful,2021-01-25,5360,0
Building the Kaggle community: How we created a data science ecosystem,2020-12-02,84,0
Business Analysis Vs Data Science,2021-01-28,183,1
Calculus - Math for Machine Learning,2021-01-13,1069,0
Career Path for Data Scientist in 2021 | Data Science for Beginners | Analytics | Great Learning,2021-01-27,1928,1
Central Tendency and Dispersion| Mean Median and Mode| Maths for Data Science| (in hindi),2021-01-29,3,0
Codeless Reinforcement Learning: Building a Gaming AI,2021-01-28,77,1
Coding Neural Network from Scratch Part 3- Softmax Function (Machine Learning-Deep Learning),2021-01-27,9,0
Como conquistei meu primeiro emprego em Data Science,2021-01-29,226,1
Como Consegui Meus Primeiros Clientes De Data Science No Linkedin,2021-01-28,260,1
Como descargar datasets desde kaggle a google drive,2021-01-29,5,0
Complete Roadmap To Learn Machine Learning (PDF Included),2021-01-19,59260,0
"Comprehensive, Hands-on, Industry experienced mentor-driven Kaggle course| Apply bit.ly/cll-k-course",2021-01-16,425,0
Data Analyst 📊 vs Data Engineer 👷‍♀️ vs Data Scientist 👨‍💻,2021-01-29,4,1
Data Driven Chat: Corpus Linguistics & Data Science || Michaela Mahlberg,2021-01-28,3791,1
Data Mining & Machine Learning,2021-01-28,7,0
Data Science Essential Program | Jan 2021 - Batch 1 |  Day 2 | LetsUpgrade,2021-01-27,1856,0
Data Science Essential Program | Jan 2021 - Batch 1 |  Day 3 | LetsUpgrade,2021-01-28,1467,0
Data Science Essential Program | Jan 2021 - Batch 1 |  Day 4 | LetsUpgrade,2021-01-29,369,0
Data Science Essential Program | Jan 2021 - Batch 1 |  Day 5 | LetsUpgrade,2021-01-30,306,0
"Data Science Expert Professor Kamakshaiah Interview | Over Data Recovery In Mobiles, Iphones & Ipads",2021-01-30,271,0
Data Science for beginners | Full course | Technology | Science,2021-01-29,57,0
Data Science For Engineers Solution | Week-2 Assignment Solution | NPTEL Jan-Apr 2021 | NPTEL Answer,2021-01-29,17,0
"Data Science for Mobility, Delivery, and Beyond",2021-01-28,150,1
Data Science For Social Good (DSSG) Info Session,2021-01-29,1,1
Data Science Full Course For Beginners | Data Analysis | Machine Learning | 2021 - Innovertz,2021-01-29,103,0
Data Science H8935W - Topic 1 Getting Started,2021-01-29,4,0
Data Science in less than 1 minute | Seedhi Baat,2021-01-28,34,0
Data Science is Changing How We Innovate in Both Practice and the Workplace,2021-01-28,3,0
Data Science Pathways | Online Open Day,2021-01-29,3,0
Data Science Roadmap For Freshers | How Much Coding & DSA? Is Master's  Degree Mandatory? INTERNSHIP,2021-01-29,821,1
Data Science Session29 at MIT World Peace University,2021-01-29,7,0
Data Science Student Spotlight - Rachel,2021-01-28,1,0
DATA SCIENCE with PYTHON tutorials || Demo - 4 || by Mrs. Sasmitha on 28-01-2021 @8PM,2021-01-28,68,0
Data Science with R – Sorting in R,2021-01-30,2,1
Data Science в РЭУ,2021-01-29,39,0
Data Science: Data Primer vs Data Skunder dalam Big Data,2021-01-30,3,0
Data Science/Career Coaching LIVE Q&A Session,2021-01-29,949,0
Data science| DATA CAMP free courses with FREE CERTIFICATE | DATASCIENCE | PYTHON | 2021 | #SWIPEUS,2021-01-29,44,0
Data Scientists and Red Hat: Better Together  - Sherard Griffin (Red Hat),2021-01-28,20,0
DataScience SG: COVID Advisories Search and QA with Transformers,2021-01-28,91,0
Day-3# Machine Learning With Python | 30 Days Free Workshop,2021-01-27,2449,0
Day-4# Machine Learning With Python | 30 Days Free Workshop,2021-01-28,571,0
Deep Learning at Scale with Horovod feat. Travis Addair | Stanford MLSys Seminar Episode 10,2021-01-28,149,0
Deep Learning Hands- On Topic # 4 TensorFlow  Constant Variable (Urdu | Hindi),2021-01-28,119,0
Deep Neural Network in Machine Learning,2021-01-14,6077,0
Defining Distinct Subsets within Lupus Using Machine Learning,2021-01-27,1,0
Different Machine Learning Algorithms | Machine Learning Course | Board Infinity,2021-01-29,1,1
Different Machine Learning Models | Machine Learning Course | Board Infinity,2021-01-29,7,1
Digits Recognition using KNN | Kaggle Competition | Data Science,2020-12-20,7,1
Discover the Impact Women are Making in Data Science at Johnson & Johnson,2021-01-28,6,0
Do's & Don't(s) in Data science.,2021-01-28,7,1
"DRDO Offers AI,Machine Learning and Cybersecurity Courses|Worth it|DINESHPRABHU",2021-01-29,129,0
Earth Data Science's Virtual Plunge,2021-01-29,1,0
EAS Steps Forward: Machine Learning Applications - Yisong Yue,2021-01-27,189,0
Edwisor | Mentor Speaks | Data Science,2021-01-28,14,0
Ep 7. Machine Learning for Wireless [Wireless Future Podcast],2021-01-12,1686,0
Ep. 16 Today we're exploring Kaggle and the planet dataset!,2020-12-17,4,0
Essential SQL for Data Science - Part1,2021-01-29,42,0
Essentials of Data Science With R Software-1:Probability&Statistical Inference |NPTEL |Week2Solution,2021-01-28,10,0
Ethics & Bias in Data Science,2021-01-29,12,1
Feedback Request by Unfold Data Science |  Honest Feedback request for videos on Unfold data science,2021-01-29,73,1
Flutter iOS & Android Object Detection with TensorFlow Lite Deep Learning & Machine Learning Course,2021-01-28,1643,1
Flutter Object Detection App - TensorFlow Lite Mobile Machine Learning & Deep Learning Course 2021,2021-01-28,156,1
FREE Bootcamp on Data Science & Full Stack Development | Experience Life Of Data Scientist/Web Dev,2021-01-29,161,1
Full stack development free Courses || Data science Free Courses,2021-01-29,38,0
Fundamental of Statistics and Probability | Machine Learning Course | Board Infinity,2021-01-29,1,1
Funny reaction when your Kaggle submission improves,2020-11-09,19,0
Get 5 LPA+ JOB With Free FSD and Data Science Bootcamps || FREE PROJECTS + CERTIFICATES,2021-01-29,415,0
Getting Started with Kaggle - WiDS 2021 Datathon,2021-01-06,590,0
Gibbs Sampling : Data Science Concepts,2021-01-27,577,1
Gitta Kutyniok Lunch Talk UiT Machine Learning Group,2021-01-29,11,0
Global AI Challenge 2020 – Kaggleを利用したコロナ禍による経済影響予測コンペの開催,2021-01-28,3,0
Google Cloud Products and Professional Machine Learning Engineer Certification Deep Dive,2021-01-30,520,0
GOTO 2021 • Sneak Peak into Reinforcement Learning (Teaser) • Phil Winder & Rebecca Nugent,2021-01-28,378,0
Hacker News | New Machine Learning Model predicts COVID- 19 Severity - ICSS,2021-01-29,3,1
Here's Where Women Data Scientists Can Lead The Way | Work as One | Cognizant,2021-01-29,100,0
How Data Science is Impacting Autopilot Industry | Data Science Daily | Episode 13,2021-01-27,37,1
How does Facial Recognition Work? | Facial Recognition Technology | Machine Learning Applications,2021-01-29,180,1
How to add data to Kaggle notebook from Google Drive in an easy and fast way,2021-01-27,13,0
How To Become A Data Scientist | Data Science Career | STT,2021-01-29,30,1
How to Become a Data Scientist | No Degree,2021-01-29,324,0
How to Become a Data Scientist in the UK (in 2021),2021-01-29,779,1
How to Become a Machine Learning Engineer | Machine Learning Roadmap 2021 | Edureka,2021-01-11,5936,0
"How to Build Data Science Pipelines with OpenShift using Ceph, Kafka and Knative  Guillaume Moutier",2021-01-28,75,1
How To Delete Kaggle Account | 2021 | #Shorts,2020-12-30,7,0
How to Deploy Machine Learning Models using Power BI,2021-01-28,339,1
How to Download Dataset | UCI Machine Learning & Kaggle.,2020-12-21,29,0
How to Download Kaggle Datasets using the Kaggle API | How to Use the Kaggle API with Python,2020-10-14,1974,0
How to Download or use datasets present in Kaggle?,2020-11-03,114,0
How to Earn Money by Winning a KAGGLE Competition: Lyft Motion Prediction for Autonomous Vehicles,2021-01-29,151,1
How to get a data scientist job during the pandemic | Interview with data scientist Byron,2021-01-27,277,0
How to Get Data from BigQuery Database in Telugu | Kaggle BigQuery API in Python | Jp NaN ML,2020-12-20,132,1
How to Get Data Science Job as a Fresher - Rauful Success Story - DataMites Institute,2021-01-30,29,0
How to Import (use) Kaggle datasets in Google Colab?,2021-01-23,91,0
how to import/download Data/file from google drive to Kaggle and Collab  in a simple and fast way,2021-01-27,24,0
How To Pick Your Next Data Science Project! (Using Kaggle),2021-01-28,56,1
How To Pick Your Next Data Science Project! (Using Kaggle),2021-01-28,71,1
How to serve any machine learning or deep learning model using FastAPI,2021-01-24,3630,0
How to start Data Science #4   Machine Learning Engineer مهندس تعليم الأله,2021-01-30,1,0
How to start your career in Data Science with Kaggle competitions? | Le Wagon Tokyo,2020-12-17,125,0
How to use Kaggle Notebook | Kaggle Tutorial | Machine Learning | Data Magic,2020-12-06,390,0
How to Use Kaggle's Dataset in Google Colab - Data Drive - Urdu / Hindi,2020-12-10,10,0
How to use Machine Learning AI Vision with Unity ML-Agents!,2021-01-10,8737,1
